Descripcion;Modelo;Fabricante;Tipo celda;No de celdas;Pmax;Eficiencia;VMPP;IMPP;VOC;ISC;Coef_Voc;precio
JinkoSolar 255W 60 Cel Policristalina;JKM255PP;JinkoSolar;Policristalina;60;255;15,58%;30,8;8,28;38;8,92;-0,30%;0
JinkoSolar 260W 60 Cel Policristalina;JKM260PP;JinkoSolar;Policristalina;60;260;15,89%;31,1;8,37;38,1;8,98;-0,30%;0
JinkoSolar 265W 60 Cel Policristalina;JKM265PP;JinkoSolar;Policristalina;60;265;16,19%;31,4;8,44;38,6;9,03;-0,30%;0
JinkoSolar 270W 60 Cel Policristalina;JKM270PP;JinkoSolar;Policristalina;60;270;16,50%;31,7;8,52;38,8;9,09;-0,30%;0
Yingli Solar 270W 60 Cel Policristalina;YL270P-29b;Yingli Solar;Policristalina;60;270;16,60%;30,7;8,8;37,9;9,27;-0,32%;0
Yingli Solar 265W 60 Cel Policristalina;YL265P-29b;Yingli Solar;Policristalina;60;265;16,30%;30,5;8,7;37,8;9,18;-0,32%;0
Yingli Solar 260W 60 Cel Policristalina;YL260P-29b;Yingli Solar;Policristalina;60;260;16,00%;30,3;8,59;37,7;9,09;-0,32%;0
Yingli Solar 255W 60 Cel Policristalina;YL255P-29b;Yingli Solar;Policristalina;60;255;15,70%;30;8,49;37,7;9,01;-0,32%;0
Yingli Solar 250W 60 Cel Policristalina;YL250P-29b;Yingli Solar;Policristalina;60;250;15,40%;29,8;8,39;37,6;8,92;-0,32%;0
JA Solar 305W 72 Cel Policristalina;JAP72S01-305/SC;JA Solar;Policristalina;72;305;15,70%;36,78;8,29;45,27;8,84;-0,33%;0
JA Solar 310W 72 Cel Policristalina;JAP72S01-310/SC;JA Solar;Policristalina;72;310;15,96%;36,89;8,4;45,56;8,92;-0,33%;0
JA Solar 315W 72 Cel Policristalina;JAP72S01-315/SC;JA Solar;Policristalina;72;315;16,22%;37,09;8,49;45,85;9,01;-0,33%;0
JA Solar 320W 72 Cel Policristalina;JAP72S01-320/SC;JA Solar;Policristalina;72;320;16,48%;37,28;8,58;46,12;9,09;-0,33%;0
JA Solar 325W 72 Cel Policristalina;JAP72S01-325/SC;JA Solar;Policristalina;72;325;16,73%;37,39;8,69;46,38;9,17;-0,33%;0
JinkoSolar 260W 96 Cel Monocristalina;JKM260M;JinkoSolar;Monocristalina;96;260;15,26%;50,5;5,15;61,1;5,72;-0,29%;0
JinkoSolar 265W 96 Cel Monocristalina;JKM265M;JinkoSolar;Monocristalina;96;265;15,55%;51;5,2;61,7;5,77;-0,29%;0
JinkoSolar 270W 96 Cel Monocristalina;JKM270M;JinkoSolar;Monocristalina;96;270;15,85%;51,5;5,24;62,3;5,82;-0,29%;0
JinkoSolar 275W 96 Cel Monocristalina;JKM275M;JinkoSolar;Monocristalina;96;275;16,14%;51,9;5,3;62,8;5,84;-0,29%;0
JinkoSolar 280W 96 Cel Monocristalina;JKM280M;JinkoSolar;Monocristalina;96;280;16,43%;52,4;5,34;63,4;5,89;-0,29%;0
